"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","bill_id","_dlt_load_id","_dlt_id"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,1891953,"1739840620.744766","JWsO225vLVHHIw"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,4,0,0,0,1891953,"1739840620.744766","hQ1TLlGduyuwYA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,5,0,0,0,1891953,"1739840620.744766","7fLLGUy0h1yFJA"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,1891940,"1739840620.744766","aRBBBphZrsYg2w"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,2,0,0,0,1891940,"1739840620.744766","Ov+LOi94hJjpXA"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,3,0,0,0,1891940,"1739840620.744766","L+RWgLeeo/wrUA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,4,0,0,0,1891940,"1739840620.744766","zMeBKJkZiKC4mQ"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,1890538,"1739840620.744766","YJwn8k9jzhHK7g"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,1890270,"1739840620.744766","7BstuLx76/6Qfw"
19730,"dby84xc6","2",43,"R",2,"Sen","Angela Paxton","Angela","","Paxton","","","SD-008",44105371,177576,"",646007,"Angela_Paxton","",1,1,0,0,0,1892984,"1739840620.744766","LLeQBdbFloNEwQ"
20235,"gynm4dz7","1",43,"D",1,"Rep","Vikki Goodwin","Vikki","","Goodwin","","","HD-047",38392457,177448,"",646117,"Vikki_Goodwin","",1,1,0,0,0,1890725,"1739840620.744766","tudhC5FaqGLW7g"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,1891554,"1739840620.744766","U174DO59m2brEA"
18680,"wjwrs2oc","2",43,"R",1,"Rep","Valoree Swanson","Valoree","","Swanson","","","HD-150",32175488,166529,"",562013,"Valoree_Swanson","",1,1,0,0,0,1890697,"1739840620.744766","SPbPosS0NZftkA"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,1891604,"1739840620.744766","2HCKkaBkgRZKgA"
25226,"zet269w5","1",43,"D",1,"Rep","Cassandra Garcia Hernandez","Cassandra","","Garcia Hernandez","","","HD-115",59509796,201253,"",0,"Cassandra_Garcia_Hernandez","",1,1,0,0,0,1891486,"1739840620.744766","0QmXzCPES6WB6w"
15409,"tcapdway","2",43,"R",1,"Rep","Steve Toth","Steve","","Toth","","","HD-015",11022454,138323,"",405730,"Steve_Toth","",1,1,0,0,0,1891754,"1739840620.744766","Jl7Jf/zPoO4GZQ"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,1890527,"1739840620.744766","imhvgF3Ce4aI9A"
18674,"8goph8xh","1",43,"D",1,"Rep","Gina Hinojosa","Gina","","Hinojosa","","","HD-049",27885110,166708,"",562521,"Gina_Hinojosa","",1,1,0,0,0,1890690,"1739840620.744766","LwprQX5oxfUDBA"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,1891474,"1739840620.744766","IzkOfDWlhMnkxA"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,1890407,"1739840620.744766","p7JDBrnlat0/7Q"
5944,"l31mwotf","1",43,"D",1,"Rep","Trey Martinez Fischer","Trey","","Martinez Fischer","III","","HD-116",6386920,49471,"",290576,"Trey_Martinez_Fischer","",1,1,0,0,0,1890654,"1739840620.744766","maauK6vtudyLJA"
25231,"onfmjesi","2",43,"R",1,"Rep","Andy Hopper","Andy","","Hopper","","","HD-064",54452088,195311,"",0,"Andy_Hopper","",1,1,0,0,0,1891841,"1739840620.744766","dIk9DWt7xk8sCg"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,1,0,0,0,1892158,"1739840620.744766","SDkRak5An4UtOQ"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,2,0,0,0,1892158,"1739840620.744766","FHKZN7G87mXDDw"
22433,"mmm9fm5l","1",43,"D",1,"Rep","Ann Johnson","Ann","","Johnson","","","HD-134",10238392,137792,"",406424,"Ann_Johnson","",1,1,0,0,0,1894318,"1739840620.744766","RtUhSEzkRgom6Q"
22437,"g5ej35ph","1",43,"D",1,"Rep","Penny Morales Shaw","Penny","","Morales Shaw","","","HD-148",48021758,187381,"",725614,"Penny_Morales_Shaw","",1,1,0,0,0,1895981,"1739840620.744766","/4xTuDm634rshA"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,1896917,"1739840620.744766","HgXUEXmlyIIKKQ"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,2,0,0,0,1896917,"1739840620.744766","8dg1RixTxPbCBg"
23190,"trr3u2j1","2",43,"R",1,"Rep","Nate Schatzline","Nate","","Schatzline","","","HD-093",54452168,201380,"",0,"Nate_Schatzline","",1,1,0,0,0,1897297,"1739840620.744766","qq+nR3tp+ZXKNg"
