"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,6,0,0,0,"KLWsYJ2q7cFfTA","KLWsYJ2q7cFfTA",5,"ZwEhGBM/lDRUqQ"
11599,"z0ysoqei","1",43,"D",2,"Sen","Borris Miles","Borris","L.","Miles","","","SD-013",1177031,59415,"",248658,"Borris_Miles","",1,7,0,0,0,"KLWsYJ2q7cFfTA","KLWsYJ2q7cFfTA",6,"DvP2XXTowlZw9A"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",0,"tSbPeShDB15vvA"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,2,0,0,0,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",1,"c+dtPM0HGD04Zw"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",2,"hCT7CWq++nQKtQ"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,4,0,0,0,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",3,"589AzyJnjs4fxA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,5,0,0,0,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",4,"mQzG+ojbQ9GKuQ"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,"kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",0,"AR4XlNYQfoSAYA"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,2,0,0,0,"kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",1,"ABaXICzEqFwqgw"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,3,0,0,0,"kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",2,"PI3eCuQniEEMGA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,4,0,0,0,"kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",3,"DLcqoQHk7QMOrg"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,"k4s+sQI6CyryWw","k4s+sQI6CyryWw",0,"oz+6bG9pGC2RwQ"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,"B2wCzyDd6AmY9w","B2wCzyDd6AmY9w",0,"JnFsLgSbQl/1FQ"
19730,"dby84xc6","2",43,"R",2,"Sen","Angela Paxton","Angela","","Paxton","","","SD-008",44105371,177576,"",646007,"Angela_Paxton","",1,1,0,0,0,"M3TsCiHT5hFQ1A","M3TsCiHT5hFQ1A",0,"2QHfuU2j8Yiw2w"
20235,"gynm4dz7","1",43,"D",1,"Rep","Vikki Goodwin","Vikki","","Goodwin","","","HD-047",38392457,177448,"",646117,"Vikki_Goodwin","",1,1,0,0,0,"8L/m8L5Q9I3h6Q","8L/m8L5Q9I3h6Q",0,"k2HePVjmva03VQ"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,"H0GU3Iu+of/R4Q","H0GU3Iu+of/R4Q",0,"CXKgMUuDrSanlw"
18680,"wjwrs2oc","2",43,"R",1,"Rep","Valoree Swanson","Valoree","","Swanson","","","HD-150",32175488,166529,"",562013,"Valoree_Swanson","",1,1,0,0,0,"mRSFrHCeXgukZQ","mRSFrHCeXgukZQ",0,"oB45ED7EP2kgZQ"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,"hEsCdXcA17KbaQ","hEsCdXcA17KbaQ",0,"Fpef6MLGBCvBKA"
25226,"zet269w5","1",43,"D",1,"Rep","Cassandra Garcia Hernandez","Cassandra","","Garcia Hernandez","","","HD-115",59509796,201253,"",0,"Cassandra_Garcia_Hernandez","",1,1,0,0,0,"gL/EMZiXnlQ4bQ","gL/EMZiXnlQ4bQ",0,"JK7iCC7W3h3M+Q"
15409,"tcapdway","2",43,"R",1,"Rep","Steve Toth","Steve","","Toth","","","HD-015",11022454,138323,"",405730,"Steve_Toth","",1,1,0,0,0,"L2gDxfkOF0pzOw","L2gDxfkOF0pzOw",0,"r7bsJ4IiceHtjg"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,"+2N/by3J5qWGOw","+2N/by3J5qWGOw",0,"fVNwODaCBtymcw"
18674,"8goph8xh","1",43,"D",1,"Rep","Gina Hinojosa","Gina","","Hinojosa","","","HD-049",27885110,166708,"",562521,"Gina_Hinojosa","",1,1,0,0,0,"NjK4j2GzwdVgXQ","NjK4j2GzwdVgXQ",0,"WR5oUA8yXichfw"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,"RS2+s2QynZ7wyg","RS2+s2QynZ7wyg",0,"IIeRe1KI77DWOw"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,"W0ANUAVHj4P8Tg","W0ANUAVHj4P8Tg",0,"gRdukUBOW/dlbw"
5944,"l31mwotf","1",43,"D",1,"Rep","Trey Martinez Fischer","Trey","","Martinez Fischer","III","","HD-116",6386920,49471,"",290576,"Trey_Martinez_Fischer","",1,1,0,0,0,"sSiKItVaKTavVA","sSiKItVaKTavVA",0,"7YNMTe9n9YBCKg"
25231,"onfmjesi","2",43,"R",1,"Rep","Andy Hopper","Andy","","Hopper","","","HD-064",54452088,195311,"",0,"Andy_Hopper","",1,1,0,0,0,"L0THNoH3vFPuVw","L0THNoH3vFPuVw",0,"9mtvh84CnBZR0A"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,1,0,0,0,"k5/gmoTbU3szRA","k5/gmoTbU3szRA",0,"8BBswtL5ey2+9w"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,2,0,0,0,"k5/gmoTbU3szRA","k5/gmoTbU3szRA",1,"OpZL+oDl5HEaYg"
22433,"mmm9fm5l","1",43,"D",1,"Rep","Ann Johnson","Ann","","Johnson","","","HD-134",10238392,137792,"",406424,"Ann_Johnson","",1,1,0,0,0,"ukDXrGyTrkL58A","ukDXrGyTrkL58A",0,"nDJceh+3TfuHwg"
22437,"g5ej35ph","1",43,"D",1,"Rep","Penny Morales Shaw","Penny","","Morales Shaw","","","HD-148",48021758,187381,"",725614,"Penny_Morales_Shaw","",1,1,0,0,0,"pGRPO3/549Wy2Q","pGRPO3/549Wy2Q",0,"iwMWNMoI0APqkA"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,"EaShiLpuwEN2xA","EaShiLpuwEN2xA",0,"Cpy2Pz0U09ikCQ"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,2,0,0,0,"EaShiLpuwEN2xA","EaShiLpuwEN2xA",1,"5pu85aymvRZGQQ"
23190,"trr3u2j1","2",43,"R",1,"Rep","Nate Schatzline","Nate","","Schatzline","","","HD-093",54452168,201380,"",0,"Nate_Schatzline","",1,1,0,0,0,"G2WJ+laxM1nDHA","G2WJ+laxM1nDHA",0,"/+adEOE3eizP5w"
