"doc_id","date","type","type_id","mime","mime_id","url","state_link","text_size","text_hash","alt_bill_text","alt_mime","alt_mime_id","alt_state_link","alt_text_size","alt_text_hash","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
3026265,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB256/id/3026265","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00256I.htm",29908,"cc775999bfa4353afbb96f2737ddf1ed",0,"",0,"",0,"","W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",0,"38/cWwGu8k8MYg"
3026778,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB257/id/3026778","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00257I.htm",16282,"e5ff405b93e69c9685a5b82595768185",0,"",0,"",0,"","5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",0,"gBO3lEbXyrnQgQ"
3026876,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/HB257/id/3026876","https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00257I.htm",29898,"aa5fcab693a08716f2aa13f99998de5c",0,"",0,"",0,"","4IMxHZ4dSlYj1Q","4IMxHZ4dSlYj1Q",0,"KGkGuhYmyfEAIg"
3027827,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB266/id/3027827","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00266I.htm",62027,"2c08fdb325c36c294823d835a566ea34",0,"",0,"",0,"","9oKS3XfAf+okdw","9oKS3XfAf+okdw",0,"EwCN6zDvxXWPtA"
3027321,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB308/id/3027321","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00308I.htm",10377,"df8fe0700407d320cc78cad05983a63a",0,"",0,"",0,"","KLWsYJ2q7cFfTA","KLWsYJ2q7cFfTA",0,"n96GJtNxnDCgJA"
3027526,"2024-11-13","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB350/id/3027526","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00350I.htm",9428,"1bb4c14071d495c4f3502ce29640bfaa",0,"",0,"",0,"","3PWWvVCmOFR4og","3PWWvVCmOFR4og",0,"13lUC6zEHf91Tw"
3027766,"2024-11-14","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB360/id/3027766","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00360I.htm",72176,"8cc732e60b95835dc38d274162e6a793",0,"",0,"",0,"","kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",0,"VpePwyHzSqPFOQ"
3027322,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/HB395/id/3027322","https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00395I.htm",16272,"a7e6d484bf582cffd486c6e4a5b6e5b2",0,"",0,"",0,"","k4s+sQI6CyryWw","k4s+sQI6CyryWw",0,"kywpWSAJQHL+JA"
3027233,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/HB427/id/3027233","https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00427I.htm",4434,"9fba9a364a7086909ddc6b0cf8228e5c",0,"",0,"",0,"","B2wCzyDd6AmY9w","B2wCzyDd6AmY9w",0,"L7NHqsXeL6xNaQ"
3028930,"2024-11-22","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/SB466/id/3028930","https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00466I.htm",6520,"c42780ff239aa0c3d355178c91499549",0,"",0,"",0,"","M3TsCiHT5hFQ1A","M3TsCiHT5hFQ1A",0,"kCm2hCHNdLC/Cg"
3027932,"2024-11-12","Introduced",1,"text/html",1,"https://legiscan.com/TX/text/HB585/id/3027932","https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00585I.htm",19690,"f26453117f1f9c6edad813651685ce73",0,"",0,"",0,"","8L/m8L5Q9I3h6Q","8L/m8L5Q9I3h6Q",0,"xmrdlHUIjsaq2Q"
