"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","bill_id","_dlt_load_id","_dlt_id"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,1891953,"1739840753.685618","OemEo4bgDsvAgw"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,4,0,0,0,1891953,"1739840753.685618","W/fVwJ1+PRJ6WA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,5,0,0,0,1891953,"1739840753.685618","cbAkxdSzDMXgyQ"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,1891940,"1739840753.685618","Bfwck6Nh74WmIg"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,2,0,0,0,1891940,"1739840753.685618","D1IvV5n7e+Yk2A"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,3,0,0,0,1891940,"1739840753.685618","vwfNMHunmiHoqg"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,4,0,0,0,1891940,"1739840753.685618","v1KRfzU9ryg85A"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,1890538,"1739840753.685618","Ipu9sK9TtpqjRA"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,1890270,"1739840753.685618","YGALqCjJwXDZ/Q"
19730,"dby84xc6","2",43,"R",2,"Sen","Angela Paxton","Angela","","Paxton","","","SD-008",44105371,177576,"",646007,"Angela_Paxton","",1,1,0,0,0,1892984,"1739840753.685618","ZZrfwoSiA0swKA"
20235,"gynm4dz7","1",43,"D",1,"Rep","Vikki Goodwin","Vikki","","Goodwin","","","HD-047",38392457,177448,"",646117,"Vikki_Goodwin","",1,1,0,0,0,1890725,"1739840753.685618","yTOv06D6h2H/KA"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,1891554,"1739840753.685618","6cYVgU8zHFUJQg"
18680,"wjwrs2oc","2",43,"R",1,"Rep","Valoree Swanson","Valoree","","Swanson","","","HD-150",32175488,166529,"",562013,"Valoree_Swanson","",1,1,0,0,0,1890697,"1739840753.685618","omtqhwhPgjCg1g"
