bill_id,state,number,stance,change_hash,url,status_date,status,last_action_date,last_action,title,description
1891167,TX,SB257,1,4bfcc3f31693cf0a9c12f6af7aa1e387,https://legiscan.com/TX/bill/SB257/2025,2024-11-12,1,2025-02-03,Referred to State Affairs,Relating to exceptions to and the repeal of certain laws prohibiting abortion.,Relating to exceptions to and the repeal of certain laws prohibiting abortion.
1890538,TX,HB395,1,46b4ba1082ca5d65fef1874dd6a9ef75,https://legiscan.com/TX/bill/HB395/2025,2024-11-12,1,2024-11-12,Filed,Relating to exceptions to and the repeal of certain laws prohibiting abortion.,Relating to exceptions to and the repeal of certain laws prohibiting abortion.
1890270,TX,HB427,2,242e0921905ee655806115f46c93675a,https://legiscan.com/TX/bill/HB427/2025,2024-11-12,1,2024-11-12,Filed,Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.,Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.
1890725,TX,HB585,1,7d99c0cf1583a76f6491342e4d8cb9a8,https://legiscan.com/TX/bill/HB585/2025,2024-11-12,1,2024-11-12,Filed,"Relating to the right to assistive reproductive technology treatments and procedures, including in vitro fertilization.","Relating to the right to assistive reproductive technology treatments and procedures, including in vitro fertilization."
1891554,TX,HB653,1,e17ed78ae1b84ca6476bc7790e4d82b2,https://legiscan.com/TX/bill/HB653/2025,2024-11-12,1,2024-11-12,Filed,Relating to the purchase and use of contraceptives and access to contraceptive information.,Relating to the purchase and use of contraceptives and access to contraceptive information.
1890697,TX,HB818,2,7c7cde0633793cd43816b8dd5d931bb3,https://legiscan.com/TX/bill/HB818/2025,2024-11-12,1,2024-11-12,Filed,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.
1891486,TX,HB965,1,1928e7b927bc9d9b09e8f730cebd09cb,https://legiscan.com/TX/bill/HB965/2025,2024-11-12,1,2024-11-12,Filed,Relating to exceptions to and the repeal of certain laws prohibiting abortion.,Relating to exceptions to and the repeal of certain laws prohibiting abortion.
1892158,TX,HB1339,2,95adad8ff440911e1be70f8169927ef4,https://legiscan.com/TX/bill/HB1339/2025,2024-11-14,1,2024-11-14,Filed,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.
1896917,TX,HB1636,2,e7d35bf2434bd393776d1524bb864054,https://legiscan.com/TX/bill/HB1636/2025,2024-12-16,1,2024-12-16,Filed,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.,Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.
